ticker,company_name,year,target,source_class,ttc_logit,ttc_ensemble,ttc_best_model
002148.SZ,BEWINNER TECH,2022,0,active,0.19379596216514403,0.0,Random Forest
002148.SZ,BEWINNER TECH,2023,0,active,0.18007083935976562,0.0,Random Forest
002148.SZ,BEWINNER TECH,2024,0,active,0.235617245501243,0.0,Random Forest
002153.SZ,SHIJINETWORK,2014,0,active,4.00627468257304e-05,0.0,Random Forest
002153.SZ,SHIJINETWORK,2015,0,active,0.00041278697528472153,0.0,Random Forest
002153.SZ,SHIJINETWORK,2016,0,active,0.0003194033833406203,0.0,Random Forest
002153.SZ,SHIJINETWORK,2017,0,active,4.404400443907138e-05,0.0,Random Forest
002153.SZ,SHIJINETWORK,2018,0,active,2.1392366312155384e-05,0.0,Random Forest
002153.SZ,SHIJINETWORK,2019,0,active,1.1145481067304172e-05,0.0,Random Forest
002153.SZ,SHIJINETWORK,2020,0,active,5.971754805527181e-06,0.0,Random Forest
002153.SZ,SHIJINETWORK,2021,0,active,3.6495277644801744e-06,0.0,Random Forest
002153.SZ,SHIJINETWORK,2022,0,active,1.2550512585814055e-05,0.0,Random Forest
002153.SZ,SHIJINETWORK,2023,0,active,1.6055818645960742e-07,0.0,Random Forest
002153.SZ,SHIJINETWORK,2024,0,active,2.471078685818765e-07,0.0,Random Forest
002178.SZ,YANHUA SMARTECH,2014,0,active,0.021258462558990884,0.0,Random Forest
002178.SZ,YANHUA SMARTECH,2015,0,active,0.00987345591598574,0.0,Random Forest
002178.SZ,YANHUA SMARTECH,2016,0,active,0.012392540080767143,0.0,Random Forest
002178.SZ,YANHUA SMARTECH,2017,0,active,0.01534870888595373,0.0,Random Forest
002178.SZ,YANHUA SMARTECH,2018,0,active,0.008879748156510561,0.0,Random Forest
002178.SZ,YANHUA SMARTECH,2019,0,active,0.002792332671893393,0.0,Random Forest
002178.SZ,YANHUA SMARTECH,2020,0,active,0.0026988843555667366,0.0,Random Forest
002178.SZ,YANHUA SMARTECH,2021,0,active,0.0017418505982712098,0.0,Random Forest
002178.SZ,YANHUA SMARTECH,2022,0,active,0.0008984821525971077,0.0,Random Forest
002178.SZ,YANHUA SMARTECH,2023,0,active,0.0007347733390343314,0.0,Random Forest
002178.SZ,YANHUA SMARTECH,2024,0,active,0.001291392350745477,0.0,Random Forest
002195.SZ,STONEHILL TECHNOLOGY,2014,0,active,0.00016977664495537555,0.00489796714513491,Random Forest
002195.SZ,STONEHILL TECHNOLOGY,2015,0,active,0.0022094050439022354,0.0,Random Forest
002195.SZ,STONEHILL TECHNOLOGY,2016,0,active,0.0015039033186135015,0.0,Random Forest
002195.SZ,STONEHILL TECHNOLOGY,2017,0,active,0.004028673033897649,0.0,Random Forest
